FIPS|Countyname|Postal|LineCode|IndustryName|Real Gross domestic product (GDP) by county|||
||||| (thousands of chained 2012 dollars)|||
2195|Petersburg Borough|AK|2|  Private goods-producing industries|52375|44632|44833|87956
2195|Petersburg Borough|AK|3|  Private services-providing industries|39715|39266|40442|46831
2195|Petersburg Borough|AK|4|  Government and government enterprises|54109|47202|49456|48059
2198|Prince of Wales-Hyder Census Area|AK|1|All Industries|229136|247470|243495|252879
2198|Prince of Wales-Hyder Census Area|AK|2|  Private goods-producing industries|78190|96368|86053|101997
2198|Prince of Wales-Hyder Census Area|AK|3|  Private services-providing industries|79499|79413|78647|76787
2198|Prince of Wales-Hyder Census Area|AK|4|  Government and government enterprises|71447|71523|78659|80427
2220|Sitka City and Borough|AK|1|All Industries|404873|415731|429511|428095
2220|Sitka City and Borough|AK|2|  Private goods-producing industries|62839|77703|79961|80179
2220|Sitka City and Borough|AK|3|  Private services-providing industries|213109|212062|216515|218286
2220|Sitka City and Borough|AK|4|  Government and government enterprises|128925|125959|133000|129614
2230|Skagway Municipality|AK|1|All Industries|67100|76612|69115|74486
2230|Skagway Municipality|AK|2|  Private goods-producing industries|8399|7145|4807|7626
2230|Skagway Municipality|AK|3|  Private services-providing industries|43086|54560|47269|43981
2230|Skagway Municipality|AK|4|  Government and government enterprises|15615|15314|16711|16632
2240|Southeast Fairbanks Census Area|AK|1|All Industries|603699|630902|613317|546226
2240|Southeast Fairbanks Census Area|AK|2|  Private goods-producing industries|390204|410294|389193|327886
2240|Southeast Fairbanks Census Area|AK|3|  Private services-providing industries|120979|133158|135551|127153
2240|Southeast Fairbanks Census Area|AK|4|  Government and government enterprises|92516|87584|87430|86482
2261|Valdez-Cordova Census Area|AK|1|All Industries|1535094|1473383|1517315|1588761
2261|Valdez-Cordova Census Area|AK|2|  Private goods-producing industries|63312|80347|95879|120068
2261|Valdez-Cordova Census Area|AK|3|  Private services-providing industries|1333147|1264025|1288639|1342137
2261|Valdez-Cordova Census Area|AK|4|  Government and government enterprises|138635|129540|134191|129535
2275|Wrangell City and Borough|AK|1|All Industries|60622|75050|75842|82600
